,64B,16B,% change (16B vs 64B),rel change (16B vs 64B)
aria_128_ctr_get_params,239710,239165,-0.22735805765299738,-545
EVP_des_ede_ofb,131873,131296,-0.4375421807344945,-577
EVP_sha384,109458,108877,-0.5307972007528002,-581
EVP_sm4_ctr,111751,111169,-0.5208007087184903,-582
EVP_aes_192_cfb1,137496,136876,-0.45092220864606974,-620
EVP_cast5_ofb,116331,115709,-0.5346812113710018,-622
aes_128_ofb_get_params,221624,221002,-0.28065552467241817,-622
aes_cts_192_cbc_get_params,238915,238293,-0.2603436368582969,-622
chacha20_gettable_ctx_params,224834,224211,-0.2770933221843671,-623
ENGINE_get_cipher_engine,259917,259294,-0.23969190164552528,-623
EVP_camellia_256_cfb1,168459,167834,-0.37101015677405186,-625
ossl_bio_core_globals_free,230872,230247,-0.2707127759104612,-625
camellia_192_cfb8_get_params,259750,259124,-0.2410009624639076,-626
_kernelrpc_mach_port_destruct_trap,868166,867539,-0.07222121115086286,-627
aes_192_siv_get_params,229878,229247,-0.27449342694820733,-631
EVP_des_cbc,112916,112252,-0.5880477523114528,-664
aes_192_wrap_get_params,236164,235494,-0.28370115682322455,-670
EVP_des_ede3_cfb8,145420,144748,-0.4621097510658781,-672
EVP_aria_192_cfb128,153410,152707,-0.4582491363014145,-703
aes_192_cfb8_get_params,235622,234918,-0.2987836449907055,-704
EVP_camellia_192_cfb8,169541,168835,-0.41641844745518786,-706
EVP_md5,90708,90001,-0.7794240860784054,-707
ossl_rand_cleanup_int,235084,234376,-0.3011689438668731,-708
EVP_aes_128_cbc,131748,131003,-0.5654734796733157,-745
EVP_aria_128_cfb8,150290,149544,-0.4963736775567237,-746
property_cmp,152207,151459,-0.49143600491436,-748
OSSL_PARAM_modified,168500,167752,-0.4439169139465875,-748
EVP_sha3_224,117585,116832,-0.640387804566909,-753
sm4_128_gcm_get_params,236170,235415,-0.31968497268916457,-755
OSSL_LIB_CTX_get_data,162753,161996,-0.4651219946790536,-757
EVP_aes_256_cbc,130539,129755,-0.6005867978152123,-784
getrlimit,156869,156083,-0.5010550204310603,-786
aria_128_cbc_get_params,236833,236040,-0.3348350947714212,-793
UI_method_set_closer,166288,165494,-0.4774848455691331,-794
EVP_camellia_128_cbc,165086,164286,-0.4845959075875604,-800
bio_sock_cleanup_int,170455,169624,-0.4875186999501334,-831
BIO_meth_set_gets,192791,191959,-0.4315554149311949,-832
EVP_aria_256_gcm,136289,135456,-0.6112011974554072,-833
sm4_128_cbc_get_params,224709,223875,-0.3711466830434028,-834
aria_192_ofb_get_params,230582,229709,-0.37860717662263316,-873
ossl_prov_ctx_set0_handle,188287,187413,-0.46418499418441,-874
aes_192_cfb1_get_params,229584,228708,-0.38155969057077144,-876
ossl_indicator_set_callback_free,260082,259206,-0.33681685007036244,-876
EVP_sm4_cbc,109037,108126,-0.8354962077093097,-911
tdes_ede3_cbc_get_params,230329,229415,-0.3968236739620283,-914
ossl_ctx_global_properties_new,238584,237669,-0.38351272507795997,-915
ossl_cipher_generic_set_ctx_params,502963,502044,-0.18271721776750974,-919
EVP_aes_256_wrap_pad,163793,162874,-0.561074038573077,-919
release_engine,128587,127667,-0.7154689043215877,-920
EVP_sm4_ofb,112211,111288,-0.8225575032750799,-923
mach_msg2_trap,1500665,1499712,-0.06350517937047909,-953
EVP_aria_256_ccm,138912,137956,-0.6882054826076941,-956
EVP_des_cfb8,115585,114628,-0.8279621058095774,-957
core_get_libctx,195502,194545,-0.4895090587308569,-957
UI_method_set_prompt_constructor,237374,236416,-0.40358253220656015,-958
EVP_aria_128_ecb,137961,137001,-0.6958488268423685,-960
camellia_256_cfb8_get_params,264503,263543,-0.36294484372578006,-960
EVP_cast5_cbc,127044,126082,-0.7572179717263311,-962
OPENSSL_cpuid_setup,235377,234414,-0.4091308836462356,-963
EVP_aes_256_cfb1,136253,135288,-0.7082412864303905,-965
EVP_des_ede3_cbc,145495,144500,-0.683872298017114,-995
EVP_aes_128_gcm,151373,150376,-0.6586379341097818,-997
EVP_seed_cbc,113459,112461,-0.8796128998140298,-998
EVP_rc2_cbc,109834,108836,-0.9086439536027096,-998
EVP_camellia_256_ecb,171540,170541,-0.5823714585519413,-999
opt_check_rest_arg,198918,197918,-0.5027197136508511,-1000
EVP_aes_256_cbc_hmac_sha1,228500,227499,-0.43807439824945293,-1001
OSSL_LIB_CTX_free,205872,204835,-0.5037110437553431,-1037
openssl_fopen,399792,398754,-0.25963501020530677,-1038
EVP_camellia_128_ecb,190501,189459,-0.5469787560170288,-1042
EVP_seed_ofb,117210,116167,-0.8898558143503115,-1043
EVP_sha512_256,123336,122293,-0.8456573911915418,-1043
aria_192_cbc_get_params,230333,229289,-0.45325680644979227,-1044
EVP_aes_192_ofb,137043,135999,-0.7618046890392066,-1044
UI_method_set_opener,180753,179708,-0.5781370157065167,-1045
EVP_des_ede3_wrap,148377,147294,-0.729897490851008,-1083
aes_256_ccm_get_params,232921,231835,-0.46625250621455344,-1086
aes_192_cfb_get_params,222338,221246,-0.4911441139166494,-1092
ENGINE_register_DH,389586,388464,-0.28799802867659513,-1122
query_hash,146581,145457,-0.7668115240037932,-1124
EVP_desx_cbc,133215,132087,-0.8467514919491048,-1128
EVP_camellia_128_cfb1,172542,171413,-0.6543334376557592,-1129
EVP_rc4,110162,109003,-1.0520869265263884,-1159
EVP_CipherInit_ex,368872,367710,-0.31501442234704724,-1162
engine_free_util,565626,564463,-0.20561289615399575,-1163
EVP_add_cipher,639918,638754,-0.18189830572042043,-1164
EVP_whirlpool,140044,138879,-0.8318814087001228,-1165
BIO_meth_set_ctrl,187088,185922,-0.6232361241768579,-1166
EVP_aria_192_ofb,138334,137167,-0.8436103922390735,-1167
tiny_free_list_add_ptr,3462607,3461409,-0.034598208806254936,-1198
EVP_aria_128_cbc,142456,141252,-0.8451732464761049,-1204
ENGINE_add_conf_module,208458,207253,-0.5780540924310893,-1205
ossl_property_free,474162,472957,-0.2541325538529026,-1205
OSSL_PARAM_get_int,269128,267922,-0.44811390862340594,-1206
sm4_128_cfb128_get_params,235875,234667,-0.5121356650768415,-1208
aes_128_cfb1_get_params,231913,230704,-0.5213161832238813,-1209
COMP_get_type,132879,131669,-0.910602879311253,-1210
EVP_aria_192_gcm,137833,136620,-0.8800504958899539,-1213
EVP_aria_192_ctr,137794,136581,-0.8802995776303758,-1213
camellia_192_cbc_get_params,258377,257163,-0.4698560630396668,-1214
